g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	
g2174	0.57	0.01	1.64	-1.31	-0.41	-0.07	-0.31	0.37	-0.18	1.45	1.07	1.06	2.74	0.06	-0.04	-1.03	0.32	-0.29	0.13	-0.38	
g2175	-0.33	-2.05	-1.53	-4.04	-1.98	-0.23	-6.51	0.27	-0.43	-1.15	-1.09	-0.99	-2.48	-1.37	-1.26	-0.22	-4.44	-0.62	-0.78	-2.49	
g2176	-4.28	-0.52	-1.65	-5.03	1.61	-1.42	-0.53	-0.26	-1.76	-0.43	-0.33	-0.48	-0.62	-0.72	0.52	-1.54	0.21	-0.01	0.12	0.57	
g2177	0.73	-1.57	-0.63	-1.39	-1.13	1.78	-1.04	-1.56	-1.4	-0.6	-0.53	-0.58	0.13	2.18	-0.36	-2.26	-0.65	-0.55	-0.03	-0.21	
g2178	-0.27	-3.12	0.9	-1.52	-0.03	-1.45	-0.66	-0.39	-1.67	0.26	-0.29	-0.59	-1.85	1.15	-1.24	2.44	-0.2	0.08	0.37	0.99	
g2179	1.39	-0.76	0.64	-1.37	-1.76	1.43	-3.49	-0.31	0.95	1.31	1.72	1.11	3.97	0.27	-1.05	2.62	-0.46	-0.55	-0.74	0.63	
g2180	-0.09	-0.27	0.28	-0.6	-1.31	-0.03	-0.48	-0.26	-0.32	-0.49	0.02	-0.41	-7.86	0.69	0.99	0.35	-0.56	0.12	0.69	-1.85	
g2181	-0.25	-0.8	-1.44	-0.4	-0.38	-0.66	-2.05	-0.83	0.29	0.53	-0.23	-0.09	-0.33	-2.62	-4.18	0.39	-0.55	-0.21	0.19	-0.96	
g2182	1.56	0.67	-1.45	-2.75	-1.31	2.04	-3.02	1.29	-0.55	1.1	1.65	1.11	0.75	0.47	-0.88	0.51	0.42	0.7	-0.49	0.8	
g2183	1.3	0.18	-0.65	-1.36	-0.92	0.74	0.91	-0.54	0.02	0.34	-0.11	-0.14	-2.03	0.88	0.59	-0.85	0.16	0.33	0.57	0.87	
g2184	1.63	0.57	0.95	-0.95	0.62	2.98	2.09	3.12	5.5	2.39	2.61	2.53	2.28	0.92	1.45	1.6	0.07	-0.34	0.85	1.13	
g2185	-0.83	-1.61	-1.67	-1.27	1.32	0.77	0.86	1.56	1.28	1.18	1.14	0.36	-0.14	-0.21	-0.63	-1.2	0.08	0.76	0.17	0.34	
g2186	-0.86	0.0	-0.58	-0.69	-1.83	1.0	3.08	-0.97	-0.35	-0.95	-0.74	-1.37	-3.55	-1.5	-0.08	-5.96	0.37	-0.09	0.15	0.0	
g2187	-0.46	-1.18	-0.61	-0.62	-0.89	1.16	-1.08	-0.04	1.75	0.72	0.22	0.67	-1.21	-0.79	-1.16	-0.8	0.16	1.59	0.15	0.27	
g2188	-0.67	0.66	0.99	-2.29	-0.36	-0.92	-2.03	2.72	1.0	0.32	-2.3	-3.75	-0.06	-0.69	0.65	-2.72	-0.2	-0.65	4.14	-4.21	
g2189	-0.05	0.75	-0.79	-1.24	-0.41	-0.78	0.78	1.25	3.92	1.72	1.84	1.39	-0.32	-0.84	-0.44	-2.86	0.17	0.86	0.28	0.92	
g2190	0.92	-3.22	-2.83	1.35	-0.94	-0.27	-0.27	4.08	0.22	1.51	0.37	0.14	0.67	1.87	-4.16	0.19	-0.49	0.59	-0.07	0.33	
g2191	-4.63	0.39	-0.29	2.72	-0.78	-0.95	-0.74	-0.74	-1.24	0.09	-0.35	-0.57	-1.12	-0.32	0.51	-2.56	1.49	-0.08	-0.39	0.59	
g2192	-5.38	-0.72	-0.3	-0.64	-0.4	0.12	0.41	-0.35	0.42	-2.98	0.16	0.69	-1.37	-1.96	-0.03	-1.32	0.28	0.21	0.5	0.69	
g2193	-1.29	-2.06	-0.68	1.46	3.72	0.11	-0.34	2.45	2.18	0.66	-0.25	0.87	-0.45	-0.81	-5.68	-0.7	0.64	0.4	0.36	0.58	
g2194	0.97	-0.74	-2.04	4.78	-0.1	-0.47	-0.3	0.0	-0.77	1.34	-0.1	0.38	0.49	-1.38	-0.57	-2.01	0.37	0.13	0.17	1.33	
g2195	0.28	0.48	0.69	0.38	0.9	0.78	1.87	0.24	1.64	0.6	0.16	0.19	0.2	1.2	2.06	1.3	1.27	0.46	1.48	2.91	
g2196	-2.96	0.6	1.47	1.02	-0.82	-2.1	-0.06	-1.33	-0.79	-2.23	-2.8	-2.33	0.0	-0.79	1.34	-2.45	1.66	-0.17	-1.7	-0.29	
g2197	0.89	-0.94	-1.65	-2.85	0.17	0.29	-0.42	0.63	1.36	0.62	0.51	0.31	-2.78	-0.54	-2.36	-0.44	-1.38	-0.36	0.41	-1.02	
g2198	-0.14	-1.39	-0.29	-0.23	-1.28	-0.67	-1.47	-0.44	0.13	-0.22	-0.31	-0.08	-2.22	-0.09	-0.69	-0.41	-0.51	0.15	0.61	0.39	
g2199	-1.64	-0.5	-0.41	0.59	-0.13	-0.56	0.33	-0.34	0.18	0.4	0.57	0.09	-0.31	-0.4	-0.18	-0.28	0.61	0.21	0.38	-0.62	
g2200	-0.67	-0.19	-0.12	0.85	-0.18	0.99	-1.84	-0.06	-0.36	-0.14	0.41	-0.07	-0.41	-0.19	0.57	-2.75	0.13	0.32	0.53	-0.23	
g2201	-0.83	0.16	0.85	-0.54	-0.28	0.3	1.52	0.58	0.58	0.7	0.47	0.08	-0.77	1.34	-1.08	-0.84	0.28	0.33	1.49	1.72	
g2202	0.48	-0.89	-0.49	-0.58	-0.26	0.66	0.56	-0.08	-0.18	-0.14	-0.27	-0.78	-2.85	0.1	1.46	0.39	0.07	0.77	0.74	1.02	
g2203	0.2	-1.54	0.05	0.0	-1.38	-0.16	-2.51	-0.62	0.35	-2.06	-0.06	-0.22	-1.57	0.16	-3.66	-1.54	0.2	0.21	0.16	-0.36	
g2204	1.69	-2.28	0.39	1.01	0.22	0.77	-0.57	2.0	-0.11	1.05	0.26	0.07	0.82	2.52	-6.63	-3.76	0.65	0.2	0.13	0.09	
g2205	1.76	-3.11	1.03	-0.84	-4.59	-1.43	-1.16	-1.72	-3.89	1.48	0.2	0.62	5.2	1.35	1.81	-0.24	-0.23	0.46	-0.41	1.25	
g2206	1.42	-1.41	-1.37	-2.41	-0.11	0.36	-0.39	0.41	1.45	0.58	0.63	0.38	-3.23	-0.29	-1.28	-1.06	-1.02	-0.08	0.33	-0.96	
g2207	1.09	-1.07	-1.56	-2.69	-0.05	0.51	-0.29	0.54	1.95	0.36	0.5	0.34	-6.84	-0.42	-1.96	-0.17	-0.77	-0.49	0.26	-0.72	
g2208	0.98	-0.96	-1.58	-3.35	0.03	0.02	-0.39	0.38	1.64	0.34	0.53	0.4	-1.78	-0.46	-2.34	-0.37	-1.13	-0.14	0.14	-0.8	
g2209	0.12	1.38	-1.37	-0.07	1.07	0.52	-1.37	-2.87	1.53	-0.13	-0.18	-0.22	2.81	-2.96	2.0	0.5	-6.02	1.09	0.48	-1.14	
g2210	0.22	0.01	0.72	2.14	-2.0	-1.05	0.02	1.26	3.41	1.03	1.61	1.54	5.71	2.22	0.82	2.24	1.38	-0.16	-0.25	0.27	
g2211	0.73	1.52	-1.06	0.22	-0.98	-1.28	0.21	2.14	1.01	2.42	0.14	-0.66	-2.48	-4.03	-1.52	0.6	-0.5	-0.31	3.1	0.02	
g2212	-0.53	-0.36	1.53	0.74	0.24	1.87	0.27	-0.56	0.14	0.26	0.81	-0.32	-0.12	0.15	2.9	-2.26	0.62	0.65	0.31	0.12	
g2213	-0.25	-0.33	1.09	2.22	-0.59	0.51	0.03	-0.08	0.84	0.19	0.0	0.24	-3.46	1.15	1.12	0.86	1.85	0.48	0.14	0.51	
g2214	-1.04	-0.83	-0.4	-1.06	1.92	0.57	-3.59	-1.39	0.9	-0.37	0.41	-0.01	-0.24	-0.7	1.13	1.74	-0.19	0.48	-0.6	1.94	
g2215	1.03	-1.66	0.9	-1.88	2.82	0.77	0.39	-0.19	-0.49	-0.09	-0.22	-0.54	-2.94	-0.58	-1.98	1.11	0.25	0.28	0.44	0.51	
g2216	-0.3	7.14	0.14	1.31	-0.11	-1.1	-0.57	-1.67	0.92	1.07	0.22	0.06	-1.06	0.45	1.76	-0.78	0.64	1.19	1.51	1.35	
g2217	0.05	-1.14	-1.11	-1.22	1.23	-2.12	1.73	0.59	-0.08	-1.82	0.01	2.03	1.05	-0.03	5.5	-0.43	-1.76	0.43	1.96	-1.06	
g2218	0.06	-0.4	0.27	1.42	-0.49	-0.58	-0.89	-0.55	1.06	0.22	0.12	0.01	-0.88	-0.4	0.73	-1.66	1.51	0.44	-0.44	0.07	
g2219	0.9	0.86	0.23	0.16	-0.57	-0.83	-0.4	0.88	-0.05	-0.24	-0.37	-0.44	-1.96	0.52	-0.02	0.31	0.27	0.29	0.56	1.05	
g2220	0.15	-0.43	0.55	1.5	-0.25	-0.03	1.05	-0.29	-0.08	0.24	0.24	0.75	-5.49	1.14	-0.37	-2.45	0.39	0.19	0.57	1.07	
g2221	0.71	-0.06	-0.08	1.72	1.5	-0.58	-0.01	1.82	6.79	-0.65	1.03	-0.66	1.17	1.12	-3.46	-3.03	-2.31	0.17	0.49	2.58	
g2222	0.81	0.3	0.13	1.82	-0.22	1.44	-4.53	-0.51	3.36	0.35	-0.01	0.82	0.04	1.14	0.18	0.92	1.12	1.0	0.6	1.59	
g2223	0.09	-0.68	-0.43	-2.49	-1.49	0.55	-0.29	0.18	1.41	1.32	0.64	0.68	-2.46	1.21	-0.69	-1.13	-1.22	0.54	0.1	-1.03	
g2224	-0.18	1.21	1.96	2.83	0.56	-0.39	0.72	-0.04	0.39	0.05	-0.57	-0.02	1.61	0.43	1.52	-0.51	2.32	0.75	0.08	0.72	
g2225	-1.84	0.6	-3.52	0.96	-0.13	1.44	0.9	-1.21	-1.09	-0.29	1.69	0.08	-0.39	0.65	0.45	0.51	-1.51	0.07	-0.27	0.67	
g2226	-2.97	-2.21	-0.34	-2.53	-0.59	0.52	-1.03	0.5	-2.02	-0.8	-1.21	-0.58	-1.19	0.84	-1.94	1.4	-0.51	-0.93	0.22	0.24	
g2227	-1.66	0.21	1.94	2.7	-0.57	-0.27	0.74	-0.3	2.37	-0.34	-0.36	0.59	-2.63	-0.35	1.65	-3.15	1.87	0.37	-0.19	-0.08	
g2228	-0.2	-0.43	0.13	0.24	-6.61	2.03	-0.18	-0.3	-1.03	-0.11	0.31	-0.02	-2.49	-0.89	-1.14	-1.0	-0.5	0.83	0.38	-0.51	
g2229	-0.36	4.51	0.31	0.87	-2.37	0.38	-0.13	0.87	1.0	0.25	0.41	0.67	0.81	2.85	-0.35	-0.32	-0.01	0.45	-0.16	-0.09	
g2230	-0.44	-1.48	-1.34	0.01	-1.27	1.48	-1.24	0.26	2.06	-1.71	0.8	0.42	-1.44	0.52	0.17	0.68	-0.4	1.56	-0.48	-0.24	
g2231	-2.4	-1.84	-1.58	0.75	-0.73	1.46	-0.62	1.63	-1.4	0.26	-0.27	-0.15	-0.28	-4.61	-0.78	-0.77	-0.64	-0.57	-0.27	-1.58	
g2232	0.22	2.24	-0.86	-0.77	0.44	0.0	-5.63	-0.56	-1.24	-0.52	-0.52	-0.38	-2.96	-0.63	-0.41	-0.1	0.14	-0.17	0.25	-0.33	
g2233	-0.08	-1.49	0.81	1.34	0.55	0.5	-0.7	-0.13	-1.77	0.83	-0.37	0.3	2.24	0.19	-2.63	0.6	-0.19	0.09	-0.24	-2.3	
g2234	-0.7	-0.19	1.68	0.61	-0.42	1.08	-1.39	1.84	0.52	0.18	-0.02	2.73	-0.08	-1.42	-3.44	-1.01	-1.0	0.05	-0.04	0.18	
g2235	0.91	-1.25	-0.77	0.07	1.67	0.65	0.22	0.87	0.67	0.39	0.33	0.24	2.54	0.55	-0.43	-2.06	-0.83	-0.07	0.22	0.7	
g2236	-0.82	0.49	-0.76	-1.8	-0.75	1.78	-0.65	-1.1	-0.36	0.03	-0.14	-0.16	-1.41	-1.08	1.12	-3.85	0.0	-0.04	0.42	0.77	
g2237	3.43	0.83	2.41	1.11	2.61	-0.68	1.13	4.4	-2.05	0.85	-1.36	-0.65	0.76	0.88	3.2	-0.23	1.09	1.05	0.35	0.14	
g2238	-2.98	0.65	1.28	0.77	-0.86	-2.21	-0.49	-1.71	-0.91	-2.55	-2.87	-2.48	-0.19	-0.61	1.34	-3.0	1.78	-0.04	-1.83	-1.09	
g2239	-0.17	-0.71	-0.05	1.31	-0.88	-1.66	-0.64	-0.89	-1.48	-1.77	-1.98	-1.63	1.83	-0.17	0.12	0.84	0.29	-1.04	-0.25	0.53	
g2240	0.17	1.7	0.18	0.33	1.99	-0.42	0.7	1.5	2.35	1.58	2.58	2.17	-4.35	-0.69	-0.23	1.9	0.08	0.33	-0.17	0.52	
g2241	-2.53	0.58	1.59	1.19	-0.82	-1.98	-0.32	-1.56	-1.0	-2.24	-2.83	-2.38	-0.61	-0.63	1.4	-3.74	1.76	-0.03	-1.98	-1.5	
g2242	2.12	-1.67	-0.75	-6.01	0.42	0.22	1.68	-0.73	3.9	0.77	0.66	0.34	-3.7	0.06	-7.12	1.53	-7.34	0.08	0.77	-3.84	
g2243	1.18	-1.14	2.2	1.49	1.97	-0.41	-0.29	-1.01	0.79	0.63	0.77	0.14	0.9	-0.74	-1.0	-2.68	0.6	0.03	0.69	1.16	
g2244	-5.02	-0.09	0.7	-0.14	2.0	-1.07	0.0	-0.58	1.91	-2.31	0.04	1.13	1.78	1.28	2.45	3.4	-4.21	-0.94	1.85	1.78	
g2245	-0.65	0.61	1.06	1.07	-2.18	0.76	-4.91	3.2	-2.09	0.22	0.94	-0.88	3.19	-0.28	-1.71	0.11	0.35	-0.17	1.38	-0.59	
g2246	-2.72	-0.59	-3.15	-0.03	-0.66	-0.03	0.23	0.03	-0.7	-0.73	-0.44	-0.81	2.75	1.84	-1.89	1.06	-0.28	-0.01	0.3	-1.22	
g2247	0.19	3.73	-0.09	-0.4	-5.56	2.11	-0.29	-0.56	-0.46	0.18	-0.75	0.33	-3.62	-1.55	1.53	2.08	0.02	0.3	-0.52	0.22	
g2248	0.36	-0.76	1.66	0.65	2.78	1.03	-0.9	1.25	7.98	1.95	1.58	1.31	-0.18	1.12	0.77	0.93	0.88	0.33	0.27	0.35	
g2249	1.0	-1.88	0.66	-0.38	0.26	2.46	0.18	0.96	0.53	1.86	1.39	2.05	-1.46	-0.14	0.0	1.46	-0.38	-0.4	-0.16	-1.33	
g2250	-0.18	0.45	-1.05	-1.31	-1.5	0.27	-2.94	-0.97	0.34	0.38	0.2	-0.19	-0.12	-0.6	-0.98	0.4	-1.54	0.96	0.02	-0.47	
g2251	0.95	2.52	-0.78	0.07	-1.05	0.29	-0.02	5.21	-2.27	-0.14	-0.03	1.65	0.12	0.26	0.4	2.26	-0.4	0.86	0.15	0.06	
g2252	1.89	-4.17	-0.07	-1.16	0.43	0.43	1.71	-1.95	-1.85	-1.44	-1.44	-1.48	2.24	-0.49	-0.15	0.84	-0.12	-0.93	0.16	0.5	
g2253	0.73	-0.35	-1.68	-0.86	-0.04	1.65	0.32	1.77	2.41	1.79	0.48	1.08	1.62	-0.23	-2.27	-0.87	0.59	-0.06	0.5	-0.22	
g2254	-0.05	-0.22	-0.45	0.97	-0.81	0.68	-1.52	-0.61	-1.09	-1.19	-1.01	-1.32	1.38	0.05	0.44	-2.12	-0.03	-0.34	0.48	0.66	
g2255	0.2	-1.91	-1.12	0.24	0.33	1.59	-0.8	-0.34	-0.17	-0.16	-0.13	0.08	1.82	0.46	2.76	1.46	0.54	0.07	0.02	0.41	
g2256	-0.39	-0.61	-0.38	-1.03	-2.06	0.8	1.0	0.57	0.89	0.17	0.23	0.19	-0.82	0.64	-0.15	-1.33	-0.27	0.67	-0.18	-0.3	
g2257	0.52	-0.9	-0.68	0.44	-1.23	-0.92	2.05	2.84	2.81	1.47	1.91	1.77	-0.7	-0.8	-0.63	-0.23	0.91	-0.85	0.61	1.55	
g2258	1.29	-0.94	-0.41	-0.24	2.14	1.71	1.08	2.53	1.76	1.75	1.75	1.75	2.24	-0.86	-0.37	0.53	-0.09	0.58	0.83	1.32	
g2259	-0.6	1.05	0.39	1.19	0.4	0.33	2.22	-0.22	0.25	0.45	0.01	0.04	3.99	0.01	1.15	-2.27	0.96	0.14	0.2	1.26	
g2260	-1.29	0.37	0.42	-0.74	-1.28	-1.41	1.25	0.67	0.0	0.87	0.46	0.37	-3.44	0.76	-0.39	1.04	0.13	1.09	-0.06	1.32	
g2261	1.62	0.58	-1.76	0.49	-4.14	3.41	2.59	0.42	0.85	1.1	1.29	0.76	-1.18	-0.51	-0.43	0.73	0.19	0.42	0.39	-0.63	
g2262	1.24	1.62	-0.41	1.19	-2.8	0.82	2.08	0.61	0.97	1.21	1.17	1.69	-0.49	0.89	-0.8	-0.21	0.24	-0.11	-0.77	-0.05	
g2263	-1.13	0.57	-2.47	0.49	-1.51	1.35	-0.46	0.65	-0.36	1.03	1.65	1.47	-0.05	1.02	-0.15	-0.84	0.7	-0.14	-0.69	1.51	
g2264	1.16	-0.8	1.21	-0.9	-0.69	1.05	0.38	1.04	2.08	1.38	2.1	0.75	1.85	-1.91	0.41	-1.82	-0.28	0.04	-0.25	-0.53	
g2265	0.48	-0.79	-2.41	-1.14	-1.04	-0.7	-1.06	-0.04	0.15	1.12	1.59	1.64	1.83	-5.17	-1.56	0.32	0.07	0.16	0.53	0.21	
g2266	-2.22	0.59	1.16	1.88	-0.55	-1.77	-0.77	-0.73	-0.11	-3.22	-0.6	-0.96	-0.11	-0.36	1.2	-3.51	1.56	0.12	-0.37	-0.08	
g2267	-1.09	-0.83	-0.67	0.59	-0.23	1.12	-1.17	0.02	0.4	1.61	0.84	0.93	-1.65	0.95	0.07	-1.72	1.57	0.2	0.41	-0.01	
g2268	0.33	-0.56	-0.46	0.13	-0.31	1.52	-0.24	0.49	-1.35	-1.91	-1.18	-1.63	-2.91	-1.35	-0.62	0.98	-0.96	-0.89	0.47	1.0	
g2269	0.71	-0.06	-0.65	1.72	-2.1	2.02	-0.24	1.21	2.1	1.6	1.99	1.28	-6.4	0.83	0.17	-1.83	-0.18	-0.1	0.28	-0.26	
g2270	0.07	-0.13	-1.04	1.44	-0.29	-0.11	0.66	-0.44	0.75	0.12	0.1	0.41	1.31	0.21	2.04	0.62	0.33	0.34	-0.07	-0.34	
g2271	0.43	-1.11	-0.83	-0.41	1.66	2.84	1.09	2.09	2.31	1.79	1.83	1.56	-3.08	2.06	-1.36	-0.33	-0.53	1.22	-0.71	-0.65	
g2272	0.85	1.2	-4.1	0.66	-0.7	1.03	-1.25	0.62	-0.79	2.25	0.63	-0.18	0.24	0.09	-0.58	-2.9	0.32	-0.02	-0.04	-0.18	
g2273	-5.11	1.88	0.12	1.36	-2.65	-0.22	3.16	0.24	-0.48	1.5	-0.15	-0.85	-1.11	0.19	-1.5	-1.36	-0.89	-0.18	0.53	-1.32	
g2274	0.84	-0.9	-1.5	-2.93	0.18	0.42	-0.47	0.46	1.07	0.26	0.59	0.22	-4.52	-0.5	-2.16	-0.72	-1.64	-0.32	0.03	-2.23	
g2275	0.36	-1.46	-1.53	-2.22	-1.56	-0.78	0.56	0.4	1.3	0.31	1.19	0.97	2.03	-0.37	-1.34	0.95	-0.57	-0.34	-0.14	-0.24	
g2276	1.23	0.13	1.47	0.92	0.38	2.14	0.5	1.59	-0.07	-1.58	0.15	-0.27	1.02	-1.08	-0.63	4.34	-0.06	0.97	-0.16	0.42	
g2277	-0.68	1.25	0.87	-0.21	1.38	-0.33	2.81	0.8	3.88	-2.78	0.98	1.32	-2.89	0.01	-0.68	-1.56	-0.6	-0.03	0.19	1.03	
g2278	-1.76	-0.08	0.79	-0.01	-2.53	1.34	1.72	3.0	2.56	4.42	1.87	2.9	4.02	0.98	0.02	-0.37	0.23	0.24	-0.06	1.51	
g2279	0.04	0.11	0.59	1.32	-0.63	-1.37	0.29	0.45	1.93	0.1	0.44	0.48	-4.13	1.44	0.94	-0.16	0.83	0.17	0.08	1.06	
g2280	2.57	0.12	3.02	-1.43	-0.11	-3.25	-3.29	2.55	-0.11	2.22	0.62	-0.32	4.59	2.52	0.22	-2.07	-4.19	-0.18	2.83	-1.58	
g2281	-3.56	-4.15	0.86	1.15	-4.78	-1.04	-4.12	1.75	3.44	-0.09	0.9	1.18	-0.58	-1.14	0.35	-1.74	0.44	1.98	0.58	1.4	
g2282	0.27	-0.99	1.61	-1.06	0.64	1.21	-1.08	-0.03	2.13	0.61	-0.52	1.94	-3.95	-0.03	0.59	2.08	0.32	0.39	1.15	0.81	
g2283	-1.67	0.58	1.49	-1.14	-0.78	1.78	-2.59	-1.23	-2.24	2.53	0.06	0.04	1.57	1.87	-0.79	-3.81	0.61	-0.32	-0.61	0.3	
g2284	-0.9	0.28	0.58	2.56	-0.5	-1.35	0.88	-0.35	0.95	0.16	-0.48	-0.5	-0.11	0.24	1.57	-3.35	2.25	1.21	-0.14	0.26	
g2285	-4.35	-0.36	-0.38	-0.31	0.95	0.11	-2.27	-2.18	-0.1	0.55	-0.31	-1.69	2.14	3.07	0.24	3.77	0.61	0.08	0.68	1.97	
g2286	-1.47	3.37	-2.47	0.17	2.81	0.47	0.64	-0.44	1.28	-2.8	-1.44	-0.9	-5.0	-0.24	1.89	5.14	0.06	0.37	-2.89	-0.24	
g2287	-0.41	3.14	1.0	-0.6	0.41	3.01	0.52	-4.63	-0.67	1.29	0.39	0.94	0.76	-2.28	-1.27	4.16	-0.26	-0.06	-0.53	0.26	
g2288	0.46	1.6	-0.72	0.67	-0.7	2.13	1.35	1.02	-1.07	-0.05	-0.35	-0.51	-3.1	2.29	0.38	0.77	0.07	0.13	0.05	-0.01	
g2289	2.21	1.3	-0.95	4.79	1.21	-0.08	2.88	1.91	-1.22	-2.83	-0.31	-1.38	1.89	2.7	-0.52	-0.25	-0.5	-1.61	-0.86	3.46	
g2290	1.41	1.55	0.87	-1.47	1.93	-6.74	-1.79	-0.59	-0.32	1.31	0.45	0.81	0.68	2.01	0.91	0.0	-1.08	-1.42	1.87	1.74	
g2291	-0.59	-1.5	-0.36	0.89	-1.51	-1.94	-5.25	0.13	1.34	-0.75	-0.78	-0.51	-1.3	-1.88	-0.33	-3.25	2.22	-0.56	-0.75	-0.95	
g2292	-1.26	0.09	1.66	2.45	-0.91	-1.59	-0.97	-1.17	-1.13	-1.37	-1.8	-1.79	-2.24	-0.51	1.72	-1.15	1.43	-0.16	-1.01	-0.32	
g2293	-1.12	1.63	3.15	0.32	-3.44	2.51	0.63	-2.27	-1.06	1.8	-0.28	-0.28	-4.36	-2.69	-0.18	-1.02	-1.07	-1.96	-0.23	-0.57	
g2294	-2.06	0.8	0.38	1.92	-0.05	-2.86	0.15	3.45	-0.65	0.42	-0.41	-0.41	-0.35	1.33	1.05	-0.61	2.01	-0.54	-1.68	-0.8	
g2295	0.32	2.91	-1.63	-0.27	1.2	-0.65	5.37	1.06	1.4	4.67	4.12	1.42	0.41	7.52	0.12	0.71	0.84	1.33	0.73	0.33	
g2296	0.7	-1.26	-1.26	-0.79	-0.38	-0.37	-0.4	0.74	1.23	0.72	0.32	0.44	-1.6	-0.44	-0.76	-2.33	-1.29	-0.4	-0.35	-0.03	
g2297	1.93	-2.22	3.24	1.94	1.64	1.3	0.61	0.29	-1.49	-1.48	-0.56	3.47	4.93	-2.36	-0.33	4.43	1.1	2.32	0.81	0.04	
g2298	-0.14	-0.36	-0.93	-0.56	-2.07	-0.06	-4.11	-0.77	0.18	-0.24	-0.45	0.18	-4.1	0.09	-1.36	-2.81	-0.48	-0.44	0.34	0.23	
g2299	0.88	1.37	-0.42	-0.23	-0.23	-0.75	-0.54	0.02	-0.61	0.01	-0.45	-0.32	-6.96	0.4	0.41	-2.17	0.26	0.34	0.25	0.41	
g2300	-1.64	0.13	-0.4	-1.42	-0.89	-0.74	-0.45	-1.51	-2.43	0.19	0.35	-0.65	-1.14	-0.34	1.2	0.41	0.86	-0.15	0.47	2.08	
g2301	0.72	0.82	0.71	-0.85	-2.59	1.71	-0.23	1.2	1.45	1.94	1.6	1.68	0.04	2.24	-0.2	1.41	-0.65	0.24	-0.2	0.25	
g2302	1.57	0.18	1.12	-0.49	-0.57	1.56	-0.51	-1.06	-1.09	-0.01	-0.01	0.06	1.82	1.03	-0.52	-4.32	1.07	0.51	0.27	0.64	
g2303	-2.16	0.48	-1.75	-1.96	-0.27	0.85	-1.13	-1.0	-0.82	0.28	0.6	0.97	0.13	-0.39	-0.97	0.06	-1.23	-1.52	0.46	-3.33	
g2304	-0.84	5.64	-2.24	-1.14	-0.7	-2.74	1.13	-1.54	-2.0	-0.36	-0.22	0.06	1.8	0.88	-0.37	-1.27	-0.92	-1.36	-0.62	-0.57	
g2305	-1.05	-2.96	-0.27	-0.14	3.2	0.69	-3.22	2.07	-2.08	0.37	0.06	0.03	-2.73	-1.68	-5.93	-3.46	-1.58	-0.47	0.87	-1.85	
g2306	1.7	-1.1	-8.1	0.3	-0.62	-0.64	4.95	0.73	-1.83	0.2	0.65	-0.13	-2.04	0.2	-0.27	-1.14	-0.81	-0.21	0.35	-2.75	
g2307	0.65	1.29	-2.37	-0.37	-0.98	0.1	3.17	1.19	-1.24	-0.12	-0.7	1.28	1.18	-1.21	-0.52	-2.54	0.2	0.05	1.02	0.13	
g2308	0.84	-0.34	-0.19	-0.39	3.71	1.45	-0.74	-1.26	-1.99	0.09	2.19	-0.08	-2.82	-0.19	-0.06	-2.29	-0.03	0.51	0.56	-0.33	
g2309	-0.03	-2.22	1.55	-1.94	-0.16	3.92	-1.16	0.5	-1.98	-0.66	-0.25	-0.91	0.53	-0.28	-1.27	2.59	-0.57	-0.53	-0.49	0.45	
g2310	0.97	-0.01	1.38	0.92	-0.59	1.2	1.44	-1.12	-0.56	2.31	0.63	1.23	3.17	0.22	-0.88	-0.32	-0.59	-3.22	0.52	-0.22	
g2311	0.18	1.99	-0.56	-0.33	-6.87	-0.81	-0.09	0.25	-2.43	-0.28	-0.13	-0.39	0.51	0.66	-0.62	-3.15	-0.09	-0.14	-0.53	-1.83	
g2312	1.03	-0.55	-0.18	0.26	-0.51	1.48	1.77	-0.52	-1.48	0.87	-0.47	1.18	-0.92	0.65	-2.14	-0.97	-0.32	0.19	-0.85	-0.68	
g2313	-1.02	0.39	1.6	2.41	-2.47	-2.19	-3.09	-1.25	-1.37	-0.69	-1.93	-0.5	1.81	-0.83	1.39	-3.14	1.63	-0.08	-1.09	-1.43	
g2314	1.61	-1.33	0.32	1.15	-0.06	-0.31	-0.17	3.11	-1.21	1.46	0.76	1.26	0.42	-1.54	-1.93	2.71	-0.96	-0.72	1.61	-1.97	
g2315	0.78	-1.24	-0.5	-1.1	-1.04	-0.15	-2.27	-0.26	-1.04	-0.82	-0.19	-0.05	-3.61	-0.64	-1.51	-3.46	-2.29	-0.27	0.43	-2.96	
g2316	0.29	0.05	0.72	0.72	-2.22	1.49	-0.85	0.56	-0.57	0.19	1.51	1.5	6.16	0.38	2.9	-2.74	-0.23	-0.04	-0.58	-0.02	
g2317	-0.21	-1.87	-3.82	-2.91	-1.91	-1.29	-0.18	-0.69	-2.06	-0.68	-0.83	-1.13	-0.2	-1.55	-1.06	0.3	-2.14	-0.67	-0.57	-2.58	
g2318	-2.34	0.55	1.78	2.35	-1.4	-1.89	-0.64	-1.71	-1.51	-2.18	-2.48	-1.74	-2.43	-0.45	1.38	-5.07	1.62	-0.12	-2.26	-1.42	
g2319	-0.67	-0.41	0.21	1.01	-0.53	2.39	0.14	1.61	-1.0	1.8	-0.66	-0.71	2.77	-2.1	-6.47	-0.15	-0.79	-1.0	0.5	-0.47	
