g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	
g39	-2.53	-4.07	-1.66	-4.64	-0.73	0.68	-1.3	0.72	0.74	-0.04	0.82	-0.15	-4.34	0.49	2.14	-0.99	-1.68	-1.32	-0.32	-1.33	
g40	0.4	0.69	-0.89	-6.86	1.29	0.1	-1.89	-0.63	-3.41	-2.39	-2.06	-1.17	-2.61	-2.73	1.25	0.89	-0.23	0.05	0.41	2.1	
g41	0.67	1.73	-0.48	-0.42	0.69	-0.91	0.27	-0.59	0.82	-0.09	0.84	0.46	1.21	1.23	-0.64	-0.19	-0.06	1.18	0.31	0.01	
g42	0.77	-1.26	-1.82	-2.03	-0.07	-0.04	-0.16	0.21	0.78	0.14	-0.04	0.19	-4.84	-0.52	-2.5	-0.84	-1.06	-0.02	0.29	-0.98	
g43	0.76	0.55	-2.09	-0.43	2.6	0.07	-1.63	3.42	-1.71	-1.56	-0.44	2.21	-0.28	5.69	-2.51	-0.51	-1.05	-1.29	0.51	2.82	
g44	-0.03	-1.72	-2.29	0.29	1.64	0.46	2.45	1.38	1.31	-0.33	0.62	0.04	0.99	4.04	3.18	0.75	-0.05	-2.33	2.24	3.72	
g45	-0.42	1.04	-3.41	2.99	0.28	0.95	-1.31	-0.5	-0.41	-0.79	-0.64	-0.65	4.91	-0.74	0.66	-2.78	0.19	-0.06	0.77	2.07	
g46	0.65	-2.31	-1.07	-2.01	0.96	1.68	1.4	-0.5	0.77	-1.37	-1.55	-0.05	1.99	1.61	-5.58	0.07	-1.89	-1.2	0.67	0.16	
g47	-2.96	-0.31	-2.54	-4.24	-0.72	-0.11	-3.66	0.25	-0.87	0.18	0.02	-0.57	-0.64	-0.52	-1.7	-0.01	-2.18	0.58	-0.6	-2.28	
g48	0.07	-5.14	0.49	-2.65	0.73	-0.91	-1.05	-0.11	1.26	-5.44	0.08	-2.97	-0.83	-5.12	-0.65	-3.15	0.03	-2.03	0.04	0.9	
g49	3.6	1.23	-1.07	1.58	-3.3	-0.02	0.19	-0.95	-2.01	1.67	-0.03	0.69	3.66	-0.53	-2.31	-0.16	-0.1	0.53	1.82	-0.12	
g50	2.02	1.8	-2.25	-0.57	-1.91	-2.02	0.59	-0.38	-0.74	-0.3	-0.41	-0.61	-1.7	-0.72	0.93	-0.35	-3.32	0.84	0.08	-0.65	
g51	0.89	-1.62	-1.75	-1.92	0.59	-0.13	-1.06	0.43	0.92	0.24	0.35	0.07	-2.72	-0.57	-1.98	-0.06	-1.31	-0.41	0.04	-3.37	
