,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
g2411,3.386021703699533536e-02,4.589299031394084710e-02,5.135013515685165481e-02,4.180461528457093956e-02,7.421904572929627353e-02,6.172648413359105996e-02,2.988015906053890711e-02,8.321592220768547765e-02,6.517091807680247539e-02,3.177852187581364785e-02,3.567485908734405187e-02,4.884592022120320953e-02,6.077113921641696948e-02,3.881402577133923754e-02,6.677328470402146832e-02,6.288943615754097327e-02,5.318417560131755151e-02,2.461253668272775363e-02,4.343610608176375065e-02,4.825303227420640884e-02
g2412,1.672131188046909606e-02,4.146995903990907673e-02,4.122881092906614114e-02,1.996712621477628527e-02,4.248543582891749215e-02,3.332063391648642375e-02,1.861105586988659466e-02,3.126535541664142437e-02,2.635871768995091610e-02,1.764596866994357083e-02,1.617199653500529799e-02,2.656108292453706818e-02,3.153183761318982536e-02,2.388544180698027458e-02,4.673839861847247507e-02,2.923319579222531314e-02,2.441726963610851842e-02,1.432199417830417806e-02,2.105600617457427728e-02,3.511028529774794238e-02
g2413,1.638481061011193007e-01,1.601991048138116658e-01,1.543267289913572982e-01,1.589940020340075144e-01,2.148134285018294676e-01,1.902453936788635613e-01,1.862512257513776193e-01,1.651471804453077952e-01,1.442495147972596981e-01,1.387563282757529604e-01,1.839240348257782653e-01,1.522924275059902022e-01,2.458644107616047847e-01,1.348071293032103990e-01,2.259458696292901414e-01,1.992957182218727530e-01,1.577459671451985068e-01,9.498006612375153868e-02,8.290049403809432449e-02,1.753980010180240245e-01
g2414,1.451820652569280057e-01,1.918880127540414926e-01,1.660776213374980381e-01,1.544296947569043510e-01,2.024838854211503114e-01,1.697137047765778506e-01,1.803522253047960544e-01,1.437924222421982368e-01,1.274709642076772842e-01,1.333458777216909308e-01,1.232639962830053004e-01,1.406905910978176744e-01,2.042369173426602513e-01,1.351849007839292238e-01,2.120522007769491402e-01,1.893220567045999780e-01,1.183932094062621343e-01,9.124425485978671091e-02,9.847661930841283828e-02,1.693744437406000114e-01
g2415,7.756854263447421349e-02,1.284549815421927033e-01,1.240495297298708222e-01,1.113692001311706870e-01,1.545381262371872955e-01,1.223200381800689518e-01,9.533840900847732891e-02,1.415684533263195100e-01,1.149183319043001195e-01,9.081866182073281002e-02,7.992045706198119825e-02,1.019292027544200230e-01,1.198989177161567526e-01,8.598820600099772726e-02,1.378006181136140762e-01,1.425332385143116276e-01,9.004051716414865347e-02,5.537635968646578699e-02,7.721876968911059458e-02,1.107997107838530754e-01
g2416,4.487489880152883970e-02,5.398655679358309312e-02,5.497452055164350065e-02,4.690834403081709653e-02,7.394394739885340462e-02,6.323304545034251489e-02,4.758157823479025605e-02,6.541026850564501949e-02,5.436028737185477633e-02,3.945158278457477907e-02,4.908021509197638133e-02,5.027583052592079355e-02,7.264640869719979355e-02,4.308280446870801916e-02,7.484587033513308285e-02,6.368012917171303466e-02,5.260168156797545569e-02,2.881473875369355842e-02,3.469349792166580987e-02,5.638340330852585625e-02
g2417,4.242701167364165693e-03,5.118906340350508517e-03,4.634697790926628133e-03,5.893049219045244647e-03,7.076332587649094598e-03,5.755099867846986614e-03,5.014950788941071984e-03,7.841759400789120871e-03,6.217297143105204871e-03,4.518193680047279115e-03,3.336740610801289687e-03,4.877821372938900314e-03,5.861497645498453535e-03,4.179999567256875367e-03,5.521269768821458410e-03,7.526996037999600202e-03,4.208365245840619932e-03,2.778090171574003689e-03,4.445018206802454734e-03,4.472896299851980562e-03
g2418,6.141165419950719156e-02,7.125805092923707951e-02,5.877754933994246839e-02,4.779438981844465889e-02,7.955828804983644531e-02,7.054565129696632741e-02,6.380929185661722569e-02,6.828923753968940691e-02,5.884761474664728514e-02,3.895284931183716493e-02,2.738330147237129364e-02,5.641128926877507499e-02,8.795638081489204341e-02,5.929236052338967417e-02,9.066848227749334244e-02,6.909529930251973040e-02,5.045335295515282481e-02,3.910773079462319390e-02,5.911289220606920358e-02,6.533076420881672730e-02
g2419,4.119462473814671649e-02,4.010145877334721221e-02,4.739685609487109125e-02,4.663863221185988311e-02,7.846646490526834605e-02,6.764183655733169154e-02,3.503293029977315454e-02,9.333407393558618148e-02,7.289446318373513090e-02,3.499128115465204025e-02,4.513847325986941605e-02,5.308732477519317178e-02,7.149691576566681583e-02,4.136485756681002740e-02,6.894096488013927437e-02,6.995205878474682060e-02,6.133431063250161658e-02,2.723975666787892963e-02,4.584884602125019470e-02,4.902362093772365259e-02
g2420,7.614782602009056989e-02,1.057931424796914599e-01,9.496468249939267470e-02,8.983088056259747045e-02,1.118138058599676549e-01,9.188202078314872123e-02,9.990851173977431665e-02,7.392025462678872283e-02,6.610396024621136013e-02,7.898841303069004116e-02,8.105983315988446458e-02,7.677319954184243234e-02,1.085575135452570977e-01,7.006618673716757950e-02,1.136286291893453260e-01,1.055225469477575895e-01,6.514665910406541860e-02,4.772743270188471026e-02,4.209971504968160194e-02,9.389627425960642149e-02
