,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
g1973,3.369705997823440047e-01,1.732222307331215128e-01,2.001559598341804691e-01,3.433399440597276198e-01,2.587696048756802369e-01,2.492444842072734090e-01,2.257652803653706908e-01,2.002564995964190575e-01,2.533786608272054486e-01,1.728981800344150666e-01,1.690732763040219688e-01,2.043828043072077050e-01,3.299689247207804321e-01,2.578610604383084759e-01,2.353383862019897133e-01,3.219199289284838117e-01,1.906920456799241492e-01,1.010234767742425044e-01,1.850230326298190342e-01,3.110853717415814623e-01
g1974,3.962177310606518343e-01,1.655021836882418218e-01,2.313002231911183426e-01,4.388408834247641277e-01,3.309129933784215605e-01,2.956119552521874194e-01,2.877849395189234216e-01,2.004328636935979457e-01,2.771690627681103747e-01,1.918597722926471683e-01,1.910295499620411619e-01,1.877604371475680156e-01,3.743192415054619193e-01,3.232358010267256110e-01,2.534963209129870165e-01,3.743090423306828507e-01,2.030781182717093514e-01,1.518828680947645615e-01,2.274642997029135416e-01,3.751751063653798735e-01
g1975,1.444481004082854847e-01,8.330005106193139053e-02,8.281854928822095230e-02,1.206481226488826108e-01,1.283310515673304342e-01,1.077166429807537018e-01,1.193146976081297383e-01,9.873608268961425738e-02,9.984549840326417680e-02,7.910516431215049160e-02,6.984140395846681615e-02,8.364347655978777996e-02,1.448350584155897736e-01,9.906198677549314657e-02,1.051197327042296403e-01,1.355372798183424043e-01,7.135091122284271947e-02,4.114142398638105658e-02,7.894138741269535187e-02,1.299317541302086043e-01
g1976,1.577815791635063247e-01,9.843948767065235916e-02,1.370852000385738845e-01,1.352349162374379965e-01,1.300936777525835697e-01,1.112801989445812295e-01,1.121617365338634514e-01,1.535148511471103872e-01,1.344282199268762024e-01,1.058061488929973176e-01,8.361225028532380532e-02,1.120558766727141886e-01,1.792370019687291316e-01,1.354318793085881600e-01,9.855306899760710171e-02,1.482134358639709271e-01,8.556076545228559482e-02,5.208107030353466282e-02,7.874513712517260122e-02,1.458122454754111064e-01
g1977,1.178262767237452380e-01,7.048594067111567385e-02,7.911550143103261712e-02,1.003298930152810853e-01,9.597604309680671242e-02,8.498500587852050869e-02,8.796992799370920157e-02,9.083011200535666407e-02,8.996900783237415933e-02,6.869212297849537630e-02,5.895125682342315654e-02,7.699709870086240970e-02,1.226949602619022694e-01,8.888399789368571502e-02,8.364261963749562712e-02,1.087338007738713475e-01,6.205563182419669699e-02,3.248035540938751936e-02,6.087984272930525853e-02,1.071381757567265031e-01
g1978,1.569804296478787345e-02,8.335650997271865786e-03,1.152139197628024303e-02,1.543282315798541818e-02,1.100254281394285466e-02,1.077553224966396571e-02,1.002656647614103697e-02,1.136793584617665047e-02,1.276779735734962992e-02,8.894231598945090411e-03,7.840224344743863469e-03,1.024607285101415514e-02,1.606060234134810277e-02,1.383074033462057539e-02,1.058903857091327699e-02,1.368243993320552784e-02,8.541260706813087397e-03,4.658702359599522710e-03,7.685675529583771252e-03,1.481465196452809614e-02
g1979,9.773921458310277921e-02,6.351087082451437049e-02,7.433804393226106644e-02,8.156739658547942917e-02,8.646778231732160647e-02,7.339609026644960954e-02,7.264482925040074979e-02,8.943222728390015641e-02,7.926719401697736311e-02,6.299398388923763137e-02,5.256693219889630592e-02,6.933650794985357635e-02,1.093915170813991172e-01,7.190481498135611882e-02,6.455222667749720145e-02,9.941628875261129816e-02,5.554124214801994808e-02,3.033898299303757623e-02,5.310002848580934465e-02,8.758457776001077333e-02
g1980,2.102400913539677896e-01,1.286004062102465706e-01,1.426711174290326845e-01,1.674092337440628575e-01,1.605088721203591084e-01,1.446315690892715500e-01,1.579130819455761836e-01,1.648829851169262284e-01,1.607269545376195374e-01,1.230907462170711120e-01,1.015705611746863940e-01,1.404482643193391000e-01,2.169754758933083449e-01,1.640249533636186641e-01,1.560369251403419533e-01,1.783035594723019757e-01,1.048720525096160372e-01,4.995524557566504570e-02,1.002956213413716269e-01,1.920886202233631490e-01
g1981,4.937849747989929428e-02,2.845195420129372973e-02,2.729880744729236072e-02,5.073224799682962693e-02,4.601152171323994594e-02,4.153424832195597161e-02,3.425468609392205710e-02,3.203891852278348967e-02,3.711593160945508840e-02,2.654270581521809419e-02,2.754835477556657336e-02,3.188263668294957082e-02,5.124870776762188718e-02,2.956339934380436060e-02,3.291613892634367294e-02,5.838424726616525673e-02,3.234439275002838621e-02,1.677691094471982572e-02,3.216228068501967435e-02,4.337555145146720914e-02
g1982,1.259608330554166100e-01,8.107001299121485705e-02,8.143265468045143840e-02,9.930184313003671825e-02,9.598289802135118176e-02,8.917961590098275049e-02,9.172146759330643273e-02,9.869730137362263400e-02,9.744006909389814342e-02,7.341526680045776243e-02,6.270640680167192949e-02,8.955484242967433339e-02,1.307516640110547856e-01,9.119709114406650274e-02,9.616512751944289450e-02,1.128611379730499048e-01,6.775786548319749636e-02,2.688402973984623662e-02,6.205673998603430941e-02,1.130658257067688743e-01
